NO;DATE;GULA PASIR LOKAL
739;01/11/2023;16450
740;02/11/2023;16500
741;03/11/2023;16500
742;06/11/2023;16550
743;07/11/2023;16550
744;08/11/2023;16600
745;09/11/2023;16650
746;10/11/2023;16650
747;13/11/2023;16800
748;14/11/2023;16850
749;15/11/2023;16950
750;16/11/2023;17050
751;17/11/2023;17050
752;20/11/2023;17150
753;21/11/2023;17250
754;22/11/2023;17250
755;23/11/2023;17350
756;24/11/2023;17350
757;27/11/2023;17400
758;28/11/2023;17450
759;29/11/2023;17450
760;30/11/2023;17500
761;01/12/2023;17500
762;04/12/2023;17550
763;05/12/2023;17600
764;06/12/2023;17600
765;07/12/2023;17650
766;08/12/2023;17900
767;11/12/2023;17700
768;12/12/2023;17700
769;13/12/2023;17700
770;14/12/2023;17700
771;15/12/2023;17700
772;18/12/2023;17750
773;19/12/2023;17700
774;20/12/2023;17700
775;21/12/2023;17750
776;22/12/2023;17750
777;25/12/2023;17450
778;26/12/2023;17500
779;27/12/2023;17750
780;28/12/2023;17750
781;29/12/2023;17750
